"ID","status","sentence","sparqlQald"
"1","Parsed","List all boardgames by GMT.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/publisher> http://dbpedia.org/resource/GMT_Games .}"
"2","Parsed","Who developed Skype?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Skype> .}"
"3","Parsed","Which people were born in Heraklion?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Heraklion> .}"
"4","Not Parsed","In which U.S. state is Area 51 located?","N"
"5","Parsed","Who is the mayor of New York City?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/New_York_City> <http://dbpedia.org/ontology/leaderName> ?Answer .}"
"6","Not Parsed","Which countries have places with more than two caves?","N"
"7","Parsed","Where did Abraham Lincoln die?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Abraham_Lincoln> <http://dbpedia.org/ontology/deathPlace> ?Answer .}"
"8","Parsed","Which airports does Air China serve?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Air_China> <http://dbpedia.org/ontology/targetAirport> ?Answer .}"
"9","Parsed","Give me all actors starring in movies directed by and starring William Shatner.","SELECT ?Answer WHERE { http://dbpedia.org/resource/William_and_Mary_(TV_series) <http://dbpedia.org/ontology/starring> ?Answer .}"
"10","Parsed","What are the official languages of the Philippines?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Philippines> <http://dbpedia.org/ontology/officialLanguage> ?Answer .}"
"11","Not Parsed","Give me all Danish films.","N"
"12","Parsed","Which movies starring Brad Pitt were directed by Guy Ritchie?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Guy_Ritchie> .}"
"13","Not Parsed","Give me the grandchildren of Bruce Lee.","N"
"14","Parsed","Which other weapons did the designer of the Uzi develop?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/developer> http://dbpedia.org/resource/Wizards_of_the_Coast .}"
